id,s_serialno,s_interog8,s_devicetype,s_location
20100136,B097891/006,NULL,PC,Torque Toyota Brendale
20110224,XSZ0Y03934,NULL,Printer,Torque Toyota Brendale
200800755,1A063683H,NULL,Notebook,Torque Toyota Brendale
20120278,4C056610H,NULL,Notebook,Torque Toyota Brendale
200800797,XSX0100733,NULL,Printer,Torque Toyota Brendale
20120045,B102243/009,NULL,Zbox,Torque Toyota Brendale
200800868,B096661/001,NULL,PC,Torque Toyota Brendale
200800693,B095700/010,NULL,PC,Torque Toyota Brendale
200800647,B095104/002,NULL,PC,Torque Toyota North Lakes
20120348,B103585/004,NULL,Zbox,Torque Toyota North Lakes
20120111,B102508/001,NULL,Zbox,Torque Toyota North Lakes
200800808,B096091/004,NULL,PC,Torque Toyota North Lakes
200800984,B097160/010,NULL,PC,Torque Toyota North Lakes
200800788,B096208/002,NULL,PC,Torque Toyota North Lakes
200800838,B096287/004,NULL,PC,Torque Toyota North Lakes
20120274,B103299/004,NULL,Zbox,Torque Toyota North Lakes
200800958,B096848/008,NULL,PC,Torque Toyota North Lakes
200800019,CNV7330D4R,NULL,Thin Client,Torque Toyota Pre-delivery
20120347,B103585/003,NULL,Zbox,Torque Toyota Pre-delivery
200700919,L3-E6885 07/12,NULL,Notebook,Unassigned
20120023,7B076639H,NULL,Notebook,WHOP Leaseline & General
20120378,XSZ2607998,NULL,Printer,WHOP Leaseline & General
200800925,B097291/002,NULL,PC,WHOP Leaseline & General
